Rank,Artist,Song,Year,ArtistSong
4,Paul McCartney and Stevie Wonder,Ebony And Ivory,1982,Paul McCartney and Stevie WonderEbony And Ivory
5,J. Geils Band,Centerfold,1982,J. Geils BandCenterfold
6,Human League,Don’t You Want Me,1982,Human LeagueDon’t You Want Me
7,John Cougar,Jack And Diane,1982,John CougarJack And Diane
8,John Cougar,Hurts So Good,1982,John CougarHurts So Good
9,Steve Miller Band,Abracadabra,1982,Steve Miller BandAbracadabra
10,Chicago,Hard To Say I’m Sorry,1982,ChicagoHard To Say I’m Sorry
1,Police,Every Breath You Take,1983,PoliceEvery Breath You Take
2,Michael Jackson,Billie Jean,1983,Michael JacksonBillie Jean
3,Irene Cara,Flashdance… What A Feeling,1983,Irene CaraFlashdance… What A Feeling
4,Men At Work,Down Under,1983,Men At WorkDown Under
5,Michael Jackson,Beat It,1983,Michael JacksonBeat It
6,Bonnie Tyler,Total Eclipse Of The Heart,1983,Bonnie TylerTotal Eclipse Of The Heart
7,Daryl Hall and John Oates,Maneater,1983,Daryl Hall and John OatesManeater
8,Patti Austin and James Ingram,Baby Come To Me,1983,Patti Austin and James IngramBaby Come To Me
9,Michael Sembello,Maniac,1983,Michael SembelloManiac
10,Eurythmics,Sweet Dreams (Are Made Of This),1983,EurythmicsSweet Dreams (Are Made Of This)
1,Prince,When Doves Cry,1984,PrinceWhen Doves Cry
2,Tina Turner,What’s Love Got To Do With It,1984,Tina TurnerWhat’s Love Got To Do With It
3,Paul McCartney and Michael Jackson,Say Say Say,1984,Paul McCartney and Michael JacksonSay Say Say
4,Kenny Loggins,Footloose,1984,Kenny LogginsFootloose
5,Phil Collins,Against All Odds (Take A Look At Me Now),1984,Phil CollinsAgainst All Odds (Take A Look At Me Now)
6,Van Halen,Jump,1984,Van HalenJump
7,Lionel Richie,Hello,1984,Lionel RichieHello
8,Yes,Owner Of A Lonely Heart,1984,YesOwner Of A Lonely Heart
9,Ray Parker Jr.,Ghostbusters,1984,Ray Parker Jr.Ghostbusters
10,Culture Club,Karma Chameleon,1984,Culture ClubKarma Chameleon
1,Wham!,Careless Whisper,1985,Wham!Careless Whisper
2,Madonna,Like A Virgin,1985,MadonnaLike A Virgin
3,Wham!,Wake Me Up Before You Go-Go,1985,Wham!Wake Me Up Before You Go-Go
4,Foreigner,I Want To Know What Love Is,1985,ForeignerI Want To Know What Love Is
